symbol,contract_address,side,state,usd,price,tokens,ts,mode,signature,ts_readable,portfolio_balance,pnl,exit_reason,liquidity_usd,volume_5m,buy_sell_ratio,pair_age_seconds
SAOF,aCyQq9Cp94gHPhGPBZ71pJ8H4tnkrLgVkXQncFgpump,BUY,closed,25.0,0.01325,1886.7924528301887,1787377092.719878,PAPER,,2026-08-22 01:38:12,125.0,0.0,,294940.66,140672.38,52,92.7
SAOF,aCyQq9Cp94gHPhGPBZ71pJ8H4tnkrLgVkXQncFgpump,SELL,closed,25.28301886792453,0.0134,1886.7924528301887,1787377288.2804742,PAPER,,2026-08-22 01:41:28,150.28,0.28,volume dropped to 103 vs avg 28232,294940.66,140672.38,52,92.7
Camel,EKgMtNdy3jQyd2GwJNsuHNteev55uzxcmsvJvfzrZu1n,BUY,closed,25.0,2.884e-05,866851.5950069348,1787377498.4940429,PAPER,,2026-08-22 01:44:58,125.28,0.0,,12124.81,11334.95,2.11,95.5
Camel,EKgMtNdy3jQyd2GwJNsuHNteev55uzxcmsvJvfzrZu1n,SELL,closed,21.099167822468793,2.434e-05,866851.5950069348,1787377590.03071,PAPER,,2026-08-22 01:46:30,146.38,-3.9,hard stop loss hit (-15.6%),12124.81,11334.95,2.11,95.5
RST,3YWG9wh5LdfCc1JoxmeWvkgaCXfWb9RvXJSUTpr6pump,BUY,closed,25.0,0.05233,477.7374355054462,1787377703.17233,PAPER,,2026-08-22 01:48:23,121.38,0.0,,587654.49,285376.32,7.68,96.2
RST,3YWG9wh5LdfCc1JoxmeWvkgaCXfWb9RvXJSUTpr6pump,SELL,closed,25.29141983565832,0.05294,477.7374355054462,1787377893.3517282,PAPER,,2026-08-22 01:51:33,146.67,0.29,volume dropped to 1412 vs avg 57261,587654.49,285376.32,7.68,96.2
Redbull,PGgRGJ5ot3c7QaxWZrtsJsRSoNdRSb2MkidASFWpump,BUY,closed,25.0,0.0004458,56078.959174517724,1787377944.149699,PAPER,,2026-08-22 01:52:24,121.67,0.0,,52861.12,18928.78,129,93.1
Redbull,PGgRGJ5ot3c7QaxWZrtsJsRSoNdRSb2MkidASFWpump,SELL,closed,26.69919246298789,0.0004761,56078.959174517724,1787378130.713517,PAPER,,2026-08-22 01:55:30,148.37,1.7,volume dropped to 98 vs avg 3835,52861.12,18928.78,129,93.1
Basecat,UAZPAL1Wuj6AudxsLVwsX7HLzZ35R9kpfvu66y2pump,BUY,closed,25.0,0.05066,493.4859849980261,1787378482.26509,PAPER,,2026-08-22 02:01:22,123.37,0.0,,579050.22,281506.99,98.0,96.3
Basecat,UAZPAL1Wuj6AudxsLVwsX7HLzZ35R9kpfvu66y2pump,SELL,closed,25.419463087248324,0.05151,493.4859849980261,1787378669.74446,PAPER,,2026-08-22 02:04:29,148.79,0.42,volume dropped to 1010 vs avg 56971,579050.22,281506.99,98.0,96.3
